"subject" "session" "orLarge" "orSmall" "task" "rt" "response" "vertical"
"209" 1 1 "Left" 0 "equ" 0.752663171858 1 FALSE
"210" 1 1 "Left" 0.5 "equ" 0.799720430676 1 FALSE
"211" 1 1 "Bottom" -1 "comp" 2.22269685893 0 TRUE
"212" 1 1 "Right" 1 "comp" 2.38733268098 1 FALSE
"213" 1 1 "Top" 2 "comp" 1.04667933813 1 TRUE
"214" 1 1 "Bottom" -2 "equ" 1.15251131367 0 TRUE
"215" 1 1 "Bottom" 0 "equ" 0.670360400657 1 TRUE
"216" 1 1 "Right" 2 "comp" 1.32895083313 0 FALSE
"217" 1 1 "Right" -0.5 "comp" 2.30505482341 0 FALSE
"218" 1 1 "Bottom" 0 "comp" 0.917342305308 0 TRUE
"219" 1 1 "Right" -0.5 "comp" 1.09367987051 0 FALSE
"220" 1 1 "Bottom" -0.5 "equ" 0.705595181013 1 TRUE
"221" 1 1 "Left" 1 "equ" 0.776146765079 1 FALSE
"222" 1 1 "Bottom" 0 "comp" 1.04663564344 1 TRUE
"223" 1 1 "Bottom" -1 "comp" 0.905538991182 0 TRUE
"224" 1 1 "Left" 2 "equ" 1.08194631456 0 FALSE
"225" 1 1 "Bottom" 2 "equ" 1.07021467505 0 TRUE
"226" 1 1 "Bottom" -2 "equ" 0.964341687834 0 TRUE
"227" 1 1 "Right" -0.5 "equ" 1.56408112953 1 FALSE
"228" 1 1 "Bottom" 2 "comp" 0.764571506543 1 TRUE
"229" 1 1 "Right" 0 "comp" 1.04666055708 0 FALSE
"230" 1 1 "Bottom" -1.5 "comp" 0.799675202845 0 TRUE
"231" 1 1 "Bottom" 0.5 "equ" 3.35171001448 0 TRUE
"232" 1 1 "Bottom" 0.5 "comp" 1.95222024574 1 TRUE
"233" 1 1 "Right" -0.5 "equ" 0.929076244542 0 FALSE
"234" 1 1 "Top" 2 "comp" 0.740890137381 1 TRUE
"235" 1 1 "Bottom" 1.5 "comp" 0.799703566061 1 TRUE
